ru,en,am,category
абовян,,,geoname
аветараноц,,,geoname
авуц-тар,,,geoname
агарак,,,geoname
агарцин,,,geoname
айрум,,,geoname
алаверди,,,geoname
амарас,,,geoname
апаран,,,geoname
арарат,ararat,,geoname
аратес,,,geoname
аричванк,,,geoname
армавир,,,geoname
армен,,,geoname
армения,,,geoname
армян,,,geoname
арташат,,,geoname
артик,,,geoname
арцах,,,geoname
аскеран,,,geoname
аствацнкал,,,geoname
ахалкалаки,,,geoname
ахпат,,,geoname
ахтала,,,geoname
аштарак,,,geoname
бардзракаш,,,geoname
бердзор,,,geoname
бжни,,,geoname
бюрегаван,,,geoname
вагаршапат,,,geoname
вайк,,,geoname
ванадзор,,,geoname
варденис,,,geoname
веди,,,geoname
воротнаванк,,,geoname
гавар,,,geoname
гадрут,,,geoname
гандзасар,,,geoname
гарни ,,,geoname
гегард,,,geoname
гегаркуник,,,geoname
гетаргел,,,geoname
гндеванк,,,geoname
горис,,,geoname
гошаванк,,,geoname
гтчаванк,,,geoname
гюмри,,,geoname
дадиванк,,,geoname
дастакерт,,,geoname
дехдзнут,,,geoname
джермук,,,geoname
джухтак,,,geoname
дилижан,,,geoname
егвард,,,geoname
ереван,erevan,,geoname
ереруй,,,geoname
ехегнадзор,,,geoname
звартноц,,,geoname
иджеван,,,geoname
каджаран,,,geoname
капан,,,geoname
карабах,,,geoname
карвачар,,,geoname
кечарис,,,geoname
кобайр,,,geoname
ковсакан,,,geoname
ленинакан,,,geoname
майраванк,,,geoname
макараванк,,,geoname
маралик,,,geoname
мардакерт,,,geoname
мармашен,,,geoname
мартакерт,,,geoname
мартуни,,,geoname
масис,,,geoname
матосаванк,,,geoname
мегри,,,geoname
мецамор,,,geoname
миджнаван,,,geoname
мугни,,,geoname
мшкаванк,,,geoname
ноемберян,,,geoname
нор ачин,,,geoname
нораванк,,,geoname
ованаванк,,,geoname
одзун,,,geoname
раздан,,,geoname
сагмосаванк,,,geoname
санаин,,,geoname
севан,,,geoname
севанаванк,,,geoname
сисиан,,,geoname
спитак,,,geoname
степанаван,,,geoname
степанакерт,,,geoname
сюник,,,geoname
танаат,,,geoname
татев,,,geoname
ташир,,,geoname
тегер,,,geoname
тифлис,,,geoname
тифлиская,,,geoname
туманян,,,geoname
урарту,urartu,,geoname
хоракерт,,,geoname
хоранашат,,,geoname
цахкадзор,,,geoname
цицернаванк,,,geoname
чамбарак,,,geoname
чаренцаван,,,geoname
чартар,,,geoname
шамлуг,,,geoname
шативанк,,,geoname
шуша,,,geoname
шуши,,,geoname
эрзерум,,,geoname
эриван,Erivan,,geoname
эриванская,,,geoname
эчмиадзин,,,geoname
эчмиацин,,,geoname
