value,category
ararat,geoname
erevan,geoname
yerevan,geoname
urartu,geoname
erivan,geoname
armenia,geoname
republic of armenia,geoname
gyumri,geoname
vanadzor,geoname
vagharshapat,geoname
abovyan,geoname
kapan,geoname
hrazdan,geoname
armavir,geoname
dilijan,geoname
artashat,geoname
ijevan,geoname
sevan,geoname
charentsavan,geoname
masis,geoname
goris,geoname
gavar,geoname
ashtarak,geoname
artik,geoname
sisian,geoname
alaverdi,geoname
stepanavan,geoname
spitak,geoname
vardenis,geoname
yeghvard,geoname
vedi,geoname
byurakan,geoname
tsaghkadzor,geoname
nor hachn,geoname
metsamor,geoname
berd,geoname
yeghegnadzor,geoname
tashir,geoname
kajaran,geoname
aparan,geoname
vayk,geoname
chambarak,geoname
maralik,geoname
noyemberyan,geoname
talin,geoname
jermuk,geoname
meghri,geoname
artsakh,geoname
nagorno-karabakh,geoname
cilicia,geoname
kilikia,geoname
zangezur,geoname
javakhk,geoname
nakhichevan,geoname
ani,geoname
kars,geoname
shushi,geoname
stepanakert,geoname
hadrut,geoname
martuni,geoname
martakert,geoname
askeran,geoname
karvachar,geoname
berdzor,geoname
gandzasar,geoname
tatev,geoname
geghard,geoname
garni,geoname
khor virap,geoname
echmiadzin,geoname
zvartnots,geoname
noravank,geoname
haghartsin,geoname
goshavank,geoname
sanahin,geoname
haghpat,geoname
lake sevan,geoname
mount ararat,geoname
aragats,geoname
