value,category
armen,name
tigran,name
ani,name
gayane,name
david,name
gevorg,name
aram,name
anais,name
naira,name
levon,name
robert,name
serzh,name
nikol,name
karen,name
ashot,name
vardan,name
hrachya,name
hovhannes,name
mariam,name
shushan,name
lilit,name
artur,name
gor,name
narek,name
hayk,name
suren,name
valery,name
samvel,name
andranik,name
hakob,name
sevak,name
grigor,name
sargis,name
arsen,name
edgar,name
vahe,name
vahan,name
arman,name
zaven,name
khachatur,name
manvel,name
razmik,name
artak,name
gegham,name
garen,name
kevork,name
hagop,name
dikran,name
bedros,name
petros,name
ohannes,name
krikor,name
boghos,name
poghos,name
