value,category
абовян,geoname
абовянский район,geoname
аветараноц,geoname
авуц-тар,geoname
агарак,geoname
агарцин,geoname
"азия, армения",geoname
айгезард,geoname
айрум,geoname
алаверди,geoname
алавердский р-н,geoname
алаверды,geoname
александрополь,geoname
александропольский уезд,geoname
амарас,geoname
анаствац,geoname
апаран,geoname
апаранский р-он,geoname
арагац,geoname
арагацотн,geoname
арагацотнская обл.,geoname
арарат,geoname
аратес,geoname
арзни,geoname
арич,geoname
аричванк,geoname
арм. сср,geoname
арм.сср,geoname
армавир,geoname
армавирская обл.,geoname
армен,geoname
армения,geoname
армсср,geoname
армян,geoname
армянская асср,geoname
армянская республика,geoname
армянская советская социалистическая республика,geoname
армянская сср,geoname
армянскаясср,geoname
арташат,geoname
артени,geoname
артик,geoname
артикский р-н,geoname
арцах,geoname
аршалуйс,geoname
аскеран,geoname
асср,geoname
аствацнкал,geoname
ахалкалаки,geoname
ахпат,geoname
ахтала,geoname
ачаджур,geoname
аштарак,geoname
аштаракский р-н,geoname
багаран,geoname
бардзракаш,geoname
бердзор,geoname
бжни,geoname
бюракан,geoname
бюрегаван,geoname
вагаршапат,geoname
вайк,geoname
ванадзор,geoname
варденис,geoname
васькеваз,geoname
веди,geoname
воротнаванк,geoname
восточная армения,geoname
гавар,geoname
гадрут,geoname
гандзасар,geoname
гарни,geoname
гегард,geoname
гегаркуник,geoname
герюсы,geoname
гетаргел,geoname
гехаркуникская обл.,geoname
гндеванк,geoname
горис,geoname
горисский р-н,geoname
горисский район,geoname
гошаванк,geoname
гтчаванк,geoname
гюллибулаг,geoname
гюмри,geoname
дадиванк,geoname
дастакерт,geoname
демократическая республика армения,geoname
дехдзнут,geoname
джадмурский перевал,geoname
джарабер,geoname
джермук,geoname
джрбер,geoname
джухтак,geoname
дзарагюх,geoname
дзора,geoname
дзорагюх,geoname
дилижан,geoname
егвард,geoname
елизаветполь,geoname
ереван,geoname
ереруй,geoname
ехегнадзор,geoname
закавказская сфср,geoname
закавказье,geoname
зангезур,geoname
зангезурский уезд,geoname
западная армения,geoname
звартноц,geoname
иджеван,geoname
иджеванский р-н,geoname
"кавказ регион, армения республика",geoname
"кавказ, армения",geoname
каджаран,geoname
камарлинский район,geoname
камо,geoname
канакер,geoname
капан,geoname
карабах,geoname
караклис,geoname
карвачар,geoname
карин,geoname
кечарис,geoname
киликийская армения,geoname
киликия,geoname
кировакан,geoname
кобайр,geoname
ковсакан,geoname
коктайская обл.,geoname
котайкская обл.,geoname
котайская обл.,geoname
"крымско-кавказский регион, возможно армения",geoname
кучак,geoname
ленинакан,geoname
лорийская обл.,geoname
майраванк,geoname
макараванк,geoname
маралик,geoname
мардакерт,geoname
мармашен,geoname
мартакерт,geoname
мартуни,geoname
мартунинский р-н,geoname
масис,geoname
матосаванк,geoname
мгарт,geoname
мегри,geoname
мецамор,geoname
миджнаван,geoname
мугни,geoname
мшкаванк,geoname
нагорно-карабахская автономная область,geoname
нагорно-карабахская ао,geoname
нагорно-карабахская республика,geoname
нагорный карабах,geoname
новобаязетский уезд,geoname
ноемберян,geoname
нор ачин,geoname
нораванк,geoname
ованаванк,geoname
одзун,geoname
оз. севан,geoname
октемберян,geoname
октемберянский р-он,geoname
ошакан,geoname
ошакон,geoname
первая республика армения,geoname
раздан,geoname
разданский район,geoname
республика армения,geoname
"российская империя, армения",geoname
"российская империя, эриванская губ.",geoname
сагмосаванк,geoname
санаик,geoname
санаин,geoname
севан,geoname
севанаванк,geoname
севанский,geoname
сисиан,geoname
социалистическая советская республика армения,geoname
спитак,geoname
степанаван,geoname
степанаванский р-н,geoname
степанакерт,geoname
сюник,geoname
сюникская обл.,geoname
танаат,geoname
танжелу,geoname
татев,geoname
ташир,geoname
тегер,geoname
тифлис,geoname
тифлиская,geoname
туманян,geoname
турецкая армения,geoname
урарту,geoname
фиолетово,geoname
фонтан,geoname
хндзореск,geoname
хоракерт,geoname
хоранашат,geoname
цахкадзор,geoname
цицернаванк,geoname
цовагюх,geoname
цоволюх,geoname
чамбарак,geoname
чаренцаван,geoname
чартар,geoname
шамлуг,geoname
шамшадинский район,geoname
шативанк,geoname
ширак,geoname
шуша,geoname
шуши,geoname
эрзерум,geoname
эриван,geoname
эриванская,geoname
эриванская губерния,geoname
эриванский уезд,geoname
эривань,geoname
эриваньская губерния,geoname
эчмиадзин,geoname
эчмиацин,geoname
