value,category
анушовна,midname
арменакович,midname
арменаковича,midname
арменаковичу,midname
арменаковна,midname
арменарович,midname
армененаковича,midname
армениковича,midname
арменович,midname
арменовича,midname
арменовна,midname
арсенович,midname
арсеновна,midname
артюшович,midname
арутюнович,midname
арутюновна,midname
аршакович,midname
аршаковна,midname
ашотович,midname
ашотовна,midname
бабкенович,midname
бабкеновна,midname
багдасарович,midname
багдасаровна,midname
багратович,midname
багратовна,midname
ваграмович,midname
ваграмовна,midname
вазгенович,midname
вазгеновна,midname
галустович,midname
галустовна,midname
гургенович,midname
гургеновна,midname
еревандович,midname
карапетович,midname
карапетовна,midname
каренович,midname
кареновна,midname
мигранович,midname
миграновна,midname
