value,category
анаит,name
ануш,name
аракел,name
араксия,name
аревелц,name
аревик,name
армен,name
арпеник,name
арсен,name
арташес,name
артюш,name
арутюн,name
арцруни,name
аршак,name
ашот,name
ашхен,name
бабкен,name
багдасар,name
баграт,name
багратуни,name
вагарш,name
ваграм,name
вазген,name
вараздат,name
варам,name
гагик,name
галуст,name
гарегин,name
гаяне,name
гурген,name
егише,name
карапет,name
карен,name
католикос,name
киракос,name
мамиконян,name
манушак,name
маштоц,name
месроп,name
мигран,name
мхитар,name
наира,name
нварсак,name
саака,name
сатеник,name
смбат,name
татевик,name
тигран,name
торос,name
трдат,name
хосров,name
